filename,text,testament,book,chapter,verse,duration_seconds,speaker_id,row_idx,lens_ratio,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
1CO_003_Verse_002.wav,"Ndakakupai mukaka, kwete zvokudya zvikukutu, nokuti makanga musingagoni kudya. Zvirokwazvo, hamusati mava kugona kudya nazvino.",New Testament,1 Corinthians,003,002,8.96,SPEAKER_00,10908,0.0705511811023622,0.06937759230652257,140,170,False,False,False,False
1CO_006_Verse_002.wav,"Hamuzivi here kuti vatsvene vachatonga nyika? Zvino kana muchazotonga nyika, ko, hamungagoni kutonga mhosva duku duku here?",New Testament,1 Corinthians,006,002,8.77,SPEAKER_00,17126,0.07130081300813008,0.18139948572444953,200,230,False,False,False,False
1KI_013_Verse_001.wav,"Nokuda kweshoko raJehovha munhu waMwari akabva kuJudha akauya kuBheteri, Jerobhoamu paakanga akamira pedyo nearitari ava kupirisa zvinonhuhwira.",Old Testament,1 Kings,013,001,9.99,SPEAKER_00,11799,0.069375,-0.10638604992270355,1080,240,True,True,False,False
1TH_002_Verse_002.wav,"Takanga tambotambudzika uye tikatukwa muFiripi, sezvamunoziva, asi norubatsiro rwaMwari wedu hatina kurega kukuparidzirai vhangeri rake pakati pokupikiswa kukuru.",New Testament,1 Thessalonians,002,002,11.37,SPEAKER_00,7099,0.07018518518518518,0.014684675276259062,120,100,False,False,False,False
2CH_017_Verse_004.wav,Asi akatsvaka Mwari wababa vake akatevera kurayira kwake akasatevera mabasa aIsraeri.,Old Testament,2 Chronicles,017,004,6.04,SPEAKER_00,874,0.07105882352941177,0.14523757828072267,200,110,False,False,False,False
2CO_002_Verse_002.wav,"Nokuti kana ndichikuchemedzai, ndianiko achasara kuti andifadze kunze kwenyu imi vandinochemedza?",New Testament,2 Corinthians,002,002,6.94,SPEAKER_00,4166,0.07154639175257732,0.2180977582025891,220,100,False,False,False,False
2CO_010_Verse_003.wav,"Nokuti kunyange dai tichigara zvedu munyika, hatirwi hondo sezvinoita nyika ino.",New Testament,2 Corinthians,010,003,5.52,SPEAKER_00,9506,0.06899999999999999,-0.1624244998719403,240,180,False,False,False,False
2SA_006_Verse_003.wav,"Vakaisa areka yaMwari mungoro itsva uye vakauya nayo kubva kumba kwaAbhinadhabhu, pachikomo. Uza naAhio, vanakomana vaAbhinadhabhu, ndivo vakanga vachifambisa ngoro itsva iyi",Old Testament,2 Samuel,006,003,12.12,SPEAKER_00,10737,0.0696551724137931,-0.064518242489369,210,100,False,False,False,False
2SA_008_Verse_002.wav,"Dhavhidhi akakundawo vaMoabhu. Akavavatisa pasi akavayera netambo. Aiti akaera kaviri netambo vanhu ivavo vourayiwa, asi avo vaipinda pachiero chikamu chimwe chete kubva muzvitatu vaitenderwa kurarama. Naizvozvo vaMoabhu vakaitwa varanda naDhavhidhi uye vakabvisiswa mutero.",Old Testament,2 Samuel,008,002,18.76,SPEAKER_00,938,0.06846715328467154,-0.2420509105054005,200,170,False,False,False,False
2TH_002_Verse_003.wav,"Musarega munhu upi zvake achikunyengerai nenzira ipi zvayo, nokuti zuva iro harisviki kusvikira kumukira kwaitika uye munhu wokutsauka aratidzwa, iye munhu akatongerwa kuparadzwa.",New Testament,2 Thessalonians,002,003,12.5,SPEAKER_00,24891,0.06983240223463687,-0.038033750636394685,270,110,False,False,False,False
2TI_002_Verse_002.wav,Uye zvinhu zvawakanzwa ndichitaura pamberi pezvapupu zvizhinji zvipe kuvanhu vakatendeka avo vachazozvidzidzisawo vamwe.,New Testament,2 Timothy,002,002,8.57,SPEAKER_00,13532,0.07141666666666667,0.19871217757868462,210,150,False,False,False,False
