filename,text,testament,book,chapter,verse,duration_seconds,speaker_id,row_idx,lens_ratio,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
1CH_002_Verse_041.wav,"Şallum, Yekamya'nın babası oldu ve Yekamya, Elişama'nın babası oldu.",Old Testament,1 Chronicles,002,041,4.7,SPEAKER_00,2762,0.06911764705882353,0.12796696524798412,310,400,False,False,False,False
1CO_011_Verse_002.wav,"Kardeşler, her şeyde beni hatırladığınız ve size ilettiğim öğretileri sıkı sıkıya koruduğunuz için sizi övüyorum.",New Testament,1 Corinthians,011,002,7.63,SPEAKER_00,11099,0.06752212389380531,-0.15774441452079954,750,460,False,False,False,False
1JN_004_Verse_007.wav,"Ey sevgililer, birbirimizi sevelim. Çünkü sevgi Tanrı’dandır. Seven herkes Tanrı’dan doğmuştur ve Tanrı’yı bilir.",New Testament,1 John,004,007,7.72,SPEAKER_00,23919,0.06831858407079645,-0.015121768176188136,390,220,False,False,False,False
1KI_022_Verse_008.wav,"İsrael Kralı Yehoşafat'a, ""Aracılığıyla Yahve'ye sorabileceğimiz bir adam daha var, o da İmla oğlu Mikaya'dır. Ama ondan nefret ederim. Çünkü benim hakkımda iyi peygamberlik etmez, kötü peygamberlik eder."" dedi. Yehoşafat, ""Kral böyle söylemesin!"" dedi.",Old Testament,1 Kings,022,008,17.24,SPEAKER_00,5954,0.06814229249011858,-0.04669041716946082,340,340,False,False,False,False
2KI_005_Verse_008.wav,"Öyle oldu ki, Tanrı adamı Elişa, İsrael Kralı'nın giysilerini yırttığını duyunca, krala haber gönderip, “Neden giysilerini yırttın? Hemen bana gelsin, İsrael'de bir peygamber olduğunu bilsin.” dedi.",Old Testament,2 Kings,005,008,13.73,SPEAKER_00,17624,0.06934343434343435,0.16839884241202732,450,500,False,False,False,False
2KI_013_Verse_007.wav,"Çünkü Yehoahaz'a elli atlıdan, on savaş arabasından ve on bin yayadan başka insanlarından kimseyi bırakmadı; çünkü Suriye Kralı onları yok etti ve onları harman tozu gibi etti.",Old Testament,2 Kings,013,007,11.94,SPEAKER_00,11630,0.06784090909090909,-0.1006593401631707,790,390,False,False,False,False
2KI_018_Verse_022.wav,"Ama eğer bana, ‘Tanrımız Yahve'ye güveniyoruz’ derseniz, Hizkiya’nın yüksek yerlerini ve sunaklarını kaldırdığı ve Yahuda ile Yeruşalem’e, ‘Yeruşalem’deki bu sunağın önünde tapınacaksınız’ dediği O değil mi?",Old Testament,2 Kings,018,022,14.1,SPEAKER_00,27793,0.06811594202898551,-0.05140901152956672,430,770,False,False,False,False
ACT_009_Verse_032.wav,"Her yanı dolaşan Petrus, Lidda’da yaşayan kutsallara da indi.",New Testament,Acts,009,032,4.16,SPEAKER_00,9699,0.06819672131147542,-0.03694381242563469,220,420,False,False,False,False
ACT_021_Verse_031.wav,"Onu öldürmeye çalışırken, bütün Yeruşalem Kenti’nin karıştığı haberi Roma taburunun komutanına ulaştı.",New Testament,Acts,021,031,6.94,SPEAKER_00,7071,0.06803921568627451,-0.06514844804869825,390,300,False,False,False,False
ACT_023_Verse_002.wav,"Başkâhin Hananya, yanında duranlara ağzına vurmalarını buyurdu.",New Testament,Acts,023,002,4.36,SPEAKER_00,863,0.06920634920634922,0.14385091699100216,460,330,False,False,False,False
