filename,text,testament,book,chapter,verse,duration_seconds,speaker_id,row_idx,lens_ratio,lens_ratio_z,is_first_verse,heading_before,heading_after,is_verse_range
1CH_006_Verse_039.wav,Hemaana dabboy Asaafi iya ushacha baggara eqidi oothees. Asaafi Baraka na7a; Baraka Sim7a na7a;,Old Testament,1 Chronicles,006,039,8.46,SPEAKER_01,12905,0.08905263157894738,-0.15171654755737335,False,False,False,False
1KI_004_Verse_008.wav,Enta sunthay haysafe kaallidi xaafetis. Benihuuri derey dariya Efreema biitta ayseysa.,Old Testament,1 Kings,004,008,7.66,SPEAKER_01,19053,0.08906976744186047,-0.1501586671605973,False,False,False,False
1KI_020_Verse_034.wav,"Benihadad Akaabako, “Ta aaway ne aawape ekida katamata ta new zaarana. Ta aaway Samaaren giya essidaysada neka Damasqon giya essa” yaagis. Akaabi zaaridi, “Taani ha caaquwa gaasoyada nena yeddana” yaagis. Iyara caaqidi iya yeddis.",Old Testament,1 Kings,020,034,20.64,SPEAKER_01,7226,0.08973913043478261,-0.08930456892874294,False,False,True,False
2CH_020_Verse_021.wav,"Iyosaafexi asaara zoretidaape guye, “Godaa galatite, iya siiqoy merinaasa” yaagidi yexishenne iya geeshsha bonchuwa sabbishe olanchota sinthara biya asata shuumis.",Old Testament,2 Chronicles,020,021,14.88,SPEAKER_01,9241,0.09128834355828222,0.05153973916178386,False,False,False,False
2CH_028_Verse_021.wav,"Akaazi Xoossa keethafe, kawo gadhopenne halaqatape darobaa ekidi, Asoore kawas immis. Shin hessi iya aykoka maaddibeenna.",Old Testament,2 Chronicles,028,021,11.22,SPEAKER_01,13336,0.09272727272727273,0.18235775259297216,False,False,False,False
2CH_032_Verse_027.wav,"Hizqiyaasas daro duretethinne bonchoy de7ees. Hizqiyaasi ba bira, worqaa, al7o shuchaa, sawo, gondallenne hara al7o miishe ubbaa minjiya keethi keexis.",Old Testament,2 Chronicles,032,027,14.06,SPEAKER_01,23364,0.09311258278145695,0.2173876185027767,False,False,False,False
ACT_003_Verse_013.wav,"Abrahaame, Yisaaqa, Yayqooba Xoossay, nu aawata Xoossay, ba na7aa Yesuusa bonchis. Shin hinte hayqos aathidi immidaysa Philaxoosi billanaw koyinka hinte iya sinthan, ‘Nuuni iya eroko’ yaagideta.",New Testament,Acts,003,013,17.78,SPEAKER_01,11334,0.09164948453608247,0.08437231098154219,False,False,False,False
ACT_009_Verse_011.wav,"Goday iyako, “Dendada Suure geetetiya ogiya bada, Yihuda son Saa7ola geetetiya Tarsesape yida uraa koya; Saa7oli woossees.",New Testament,Acts,009,011,11.3,SPEAKER_01,15391,0.09262295081967213,0.17287348818040466,False,False,False,False
ACT_010_Verse_041.wav,"He qoncethay Xoossay koyro doorida markatasafe attishin, asa ubbaasa gidenna. I hayqope dendidaape guye iyara midanne uyida.",New Testament,Acts,010,041,11.11,SPEAKER_01,19256,0.08959677419354838,-0.10224666578738044,False,False,False,False
AMO_007_Verse_002.wav,"Enti irxaba ubbaa midi wursida wode taani, “Abeeti, Ubbaa Haariya Godaw, hayyana ne deriya maararki! Yayqooba zareti waanidi attanaw danda7oona? Enti ubba guutha!” yaagas.",Old Testament,Amos,007,002,15.35,SPEAKER_01,19321,0.08976608187134502,-0.08685432087887925,False,False,False,False
COL_003_Verse_024.wav,Godaape laata woyto oothidi hinte ekeysa erite; hinte Godaa Kiristoosa haggaazeeta.,New Testament,Colossians,003,024,7.53,SPEAKER_01,5458,0.09072289156626506,0.00013254839763537292,False,False,False,False
DAN_011_Verse_023.wav,"Iyara caaquwa caaqi simmidi, ba oothiyaba cimon oothana; guutha asata xalaalara I minnana.",Old Testament,Daniel,011,023,8.36,SPEAKER_01,23689,0.09288888888888888,0.19705083523847286,False,False,False,False
DEU_024_Verse_013.wav,I ma7idi aqana mela sa7i omarsiya wode iyaw guye zaara; I nena galatana. Hessi Godaa ne Xoossaa sinthan new xillotetha ooso gididi taybetana.,Old Testament,Deuteronomy,024,013,13.05,SPEAKER_00,7042,0.09255319148936171,0.1665314268710898,False,False,False,False
DEU_026_Verse_008.wav,"Goday ba wolqaama kushiyan, ba micetida qesiyan, gita dagaman, malaataninne malaalsiyabatan nuna Gibxefe kessis.",Old Testament,Deuteronomy,026,008,10.28,SPEAKER_00,2163,0.09178571428571428,0.09675742735913516,False,False,False,False
DEU_029_Verse_012.wav,"Godaa, hinte Xoossara qaala gelanaw haysan eqideta. Goday ha qaala hachi hintera caaqon minthana.",Old Testament,Deuteronomy,029,012,8.71,SPEAKER_00,26714,0.0897938144329897,-0.08433305805378835,False,False,False,False
EST_006_Verse_002.wav,"Nabbabetida taariketape issoy Mardikiyoosi oothidaba. Hessika, kawoy de7iya kifiliya naagiya, Gabatanne Taara geetetiya nam7u shuufati kawa wodhanaw maqida maquwa Mardikiyoosi qoncisis.",Old Testament,Esther,006,002,16.68,SPEAKER_01,11438,0.09016216216216216,-0.05084529561164071,False,False,False,False
EXO_006_Verse_012.wav,"Shin Musey, “Ta inxarsay lufa. Isra7eeleti tana si7ibookona, shin Gibxe kawoy tana waanidi si7anee?” yaagis.",Old Testament,Exodus,006,012,9.76,SPEAKER_00,19513,0.09037037037037036,-0.03191636932058996,False,False,False,False
EZK_016_Verse_012.wav,"Ne sidhene, ne haythan worqa, ne huuphen lo77o kallacha wothas.",Old Testament,Ezekiel,016,012,5.68,SPEAKER_01,23589,0.09015873015873016,-0.051157310880174424,False,False,False,False
EZK_021_Verse_027.wav,Gado! Gado! Taani ha katamaa dhaysana. Pirdanaw maati de7eysi yaana gakanaw ha katamay zaaridi keexetenna. I yaa wode ta iyaw aathada immana” yaagees.,Old Testament,Ezekiel,021,027,13.7,SPEAKER_01,3889,0.09133333333333332,0.05562991477552181,False,False,False,False
EZK_033_Verse_007.wav,"“Asa na7aw, ta nena Isra7eele asaas wochiya asi oothas; ta new odeysa si7ada asaa akeekisa.",Old Testament,Ezekiel,033,007,8.42,SPEAKER_01,1092,0.09252747252747252,0.16419322734441238,False,False,False,False
EZK_046_Verse_022.wav,Oyddu maazanetan de7iya dabaabati issi gina; enti oytamu wadha adusse; hastamu wadha orde.,Old Testament,Ezekiel,046,022,8.16,SPEAKER_01,11286,0.09066666666666667,-0.004979051137169691,False,False,False,False
GEN_005_Verse_013.wav,"Qaynani Malal7eela yelidaape guye, 840 laythi de7is. Hara adde naytanne macca nayta yelis.",Old Testament,Genesis,005,013,8.3,SPEAKER_00,28445,0.09222222222222223,0.13644186932578134,False,False,False,False
GEN_014_Verse_010.wav,He wode Sidima zangaaran madeda oykiyabati de7iya ollati de7oosona. Soodome kawoynne Gamoora kawoti olape attanaw baqatishe he ollan wullidosona. Shin hanko heedzu kawotethati zumako baqatidi attidosona.,Old Testament,Genesis,014,010,18.18,SPEAKER_00,13383,0.08955665024630542,-0.10589447221347677,False,False,False,False
GEN_024_Verse_024.wav,"Iya, “Taani Batu7eela na7a; Batu7eeli Milka Naakoras yelida na7a.",Old Testament,Genesis,024,024,6.03,SPEAKER_00,552,0.09276923076923077,0.1861723028951697,False,False,False,False
GEN_028_Verse_004.wav,Neeni ha7i betetethan uttida ha biitta nebaa oothana mela newunne ne sheeshas Xoossay Abrahaame anjuwa immo” yaagi anjidi kiittis.,Old Testament,Genesis,028,004,11.48,SPEAKER_00,11221,0.08830769230769231,-0.2194415459051612,False,False,False,False
ISA_001_Verse_026.wav,"Taani beniysada ne halaqata, koyroysada ne zoranchota denthana. Hessafe guye, neeni ammanetida biitta; xillotetha Katama geetetana” yaagees.",Old Testament,Isaiah,001,026,12.84,SPEAKER_02,8640,0.0917142857142857,0.09026360958277535,False,False,False,False
ISA_003_Verse_017.wav,"Hessa gisho, Goday Xiyoone maccasa huuphiya dhuusan kunthana; Goday enta huuphiya bo77ayana” yaagees.",Old Testament,Isaiah,003,017,9.03,SPEAKER_02,15544,0.0894059405940594,-0.11959600647701606,False,False,False,False
ISA_049_Verse_006.wav,"Goday taako haysada yaagees; Neeni Yayqooba kochaa denthanaw Isra7eelepe attida guuthata zaarada ehanaw neeni taw aylle gideysi daro guuthaba. Hessafe aathada, ta atotethay biitta gaxa gakana mela taani nena kawotethatas poo7o oothana.",Old Testament,Isaiah,049,006,21.72,SPEAKER_02,11778,0.09242553191489361,0.1549254546750408,False,False,False,False
